Name,G,GS,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,Name-additional
,,,,,,,,,,,,,,-9999
Patrick Murphy,6,0,6,0,0,0,0,0,0,0,0,0,0,murphpa02
Sean Murphy,148,146,0,116,0,0,0,0,0,0,0,0,30,murphse01
Tom Murphy,14,11,0,12,0,0,0,0,0,0,0,0,1,murphto04
Joe Musgrove,30,30,30,0,0,0,0,0,0,0,0,0,0,musgrjo01
Parker Mushinski,7,0,7,0,0,0,0,0,0,0,0,0,0,mushipa01
Símon Muzziotti,9,3,0,0,0,0,0,0,0,8,0,8,0,muzzisi01
Wil Myers,77,70,4,0,25,0,1,0,10,6,36,52,0,myerswi01
James Naile,7,0,7,0,0,0,0,0,0,0,0,0,0,naileja01
Tommy Nance,35,2,35,0,0,0,0,0,0,0,0,0,0,nanceto01
Tyler Naquin,105,78,0,0,0,0,0,0,14,3,68,83,15,naquity01
Andrew Nardi,13,0,13,0,0,0,0,0,0,0,0,0,0,nardian01
Omar Narváez,84,81,0,83,0,0,0,0,0,0,0,0,1,narvaom01
Packy Naughton,26,3,26,0,0,0,0,0,0,0,0,0,0,naughpa01
Bo Naylor,5,1,0,4,0,0,0,0,0,0,0,0,1,naylobo01
Josh Naylor,122,116,0,0,88,0,0,0,0,0,5,5,27,naylojo01
Nick Neidert,1,1,1,0,0,0,0,0,0,0,0,0,0,neideni01
Kyle Nelson,43,1,43,0,0,0,0,0,0,0,0,0,0,nelsoky01
Nick Nelson,47,2,47,0,0,0,0,0,0,0,0,0,0,nelsoni01
Ryne Nelson,3,3,3,0,0,0,0,0,0,0,0,0,0,nelsory01
Hector Neris,70,0,70,0,0,0,0,0,0,0,0,0,0,nerishe01
Sheldon Neuse,89,75,3,0,13,23,44,2,0,0,0,0,10,neusesh01
Tyler Nevin,58,53,0,0,8,0,44,0,2,0,1,3,3,nevinty01
Sean Newcomb,20,1,20,0,0,0,0,0,0,0,0,0,0,newcose01
Kevin Newman,78,70,0,0,0,42,0,33,0,0,0,0,3,newmake01
Tomás Nido,98,86,0,96,0,0,0,0,0,0,0,0,0,nidoto01
Brandon Nimmo,151,148,0,0,0,0,0,0,0,151,0,151,0,nimmobr01
Vinny Nittoli,2,0,2,0,0,0,0,0,0,0,0,0,0,nittovi01
Stephen Nogosek,12,0,12,0,0,0,0,0,0,0,0,0,0,nogosst01
Aaron Nola,32,32,32,0,0,0,0,0,0,0,0,0,0,nolaaa01
Austin Nola,110,99,0,101,0,2,1,0,0,0,0,0,6,nolaau01
Lars Nootbaar,108,82,0,0,0,0,0,0,11,12,79,94,9,nootbla01
Daniel Norris,41,3,41,0,0,0,0,0,0,0,0,0,0,norrida01
James Norwood,20,0,20,0,0,0,0,0,0,0,0,0,0,norwoja01
Dom Nuñez,14,13,0,14,0,0,0,0,0,0,0,0,0,nunezdo01
Riley O'Brien,1,0,1,0,0,0,0,0,0,0,0,0,0,obrieri01
Darren O'Day,28,0,28,0,0,0,0,0,0,0,0,0,0,odayda01
Ryan O'Hearn,67,28,0,0,13,0,0,0,0,0,13,13,17,ohearry01
Logan O'Hoppe,5,4,0,5,0,0,0,0,0,0,0,0,0,ohopplo01
Brian O'Keefe,2,1,0,1,0,0,0,0,0,0,0,0,1,okeefbr01
Tyler O'Neill,96,88,0,0,0,0,0,0,83,21,0,94,1,oneilty01
Bailey Ober,11,11,11,0,0,0,0,0,0,0,0,0,0,oberba01
Rougned Odor,135,113,0,0,0,129,2,0,0,0,0,0,1,odorro01
Jake Odorizzi,22,22,22,0,0,0,0,0,0,0,0,0,0,odorija01
Cristofer Ogando,3,0,3,0,0,0,0,0,0,0,0,0,0,ogandcr01
Shohei Ohtani,157,153,28,0,0,0,0,0,0,0,0,0,153,ohtansh01
Steven Okert,60,0,60,0,0,0,0,0,0,0,0,0,0,okertst01
Chris Okey,7,3,0,7,0,0,0,0,0,0,0,0,0,okeych01
Edward Olivares,53,41,0,0,0,0,0,0,12,1,27,39,9,olivaed02
Adam Oller,19,14,19,0,0,0,0,0,0,0,0,0,0,ollerad01
Matt Olson,162,161,0,0,162,0,0,0,0,0,0,0,0,olsonma02
Kaleb Ort,25,0,25,0,0,0,0,0,0,0,0,0,0,ortka01
Oliver Ortega,27,0,27,0,0,0,0,0,0,0,0,0,0,ortegol01
Rafael Ortega,118,85,0,0,0,0,0,0,11,67,19,93,23,ortegra01
Luis Ortiz,6,0,6,0,0,0,0,0,0,0,0,0,0,ortizlu02
Luis Ortiz,4,4,4,0,0,0,0,0,0,0,0,0,0,ortizlu03
Adam Ottavino,66,0,66,0,0,0,0,0,0,0,0,0,0,ottavad01
Glenn Otto,27,27,27,0,0,0,0,0,0,0,0,0,0,ottogl01
James Outman,4,4,0,0,0,0,0,0,3,0,1,3,1,outmaja01
Connor Overton,6,4,6,0,0,0,0,0,0,0,0,0,0,overtco01
Johan Oviedo,21,8,21,0,0,0,0,0,0,0,0,0,0,oviedjo01
Chris Owings,27,19,1,0,0,11,2,8,1,0,0,1,0,owingch01
Marcell Ozuna,124,124,0,0,0,0,0,0,52,0,0,52,72,ozunama01
Cristian Pache,91,70,0,0,0,0,0,0,0,90,0,90,0,pachecr01
Chris Paddack,5,5,5,0,0,0,0,0,0,0,0,0,0,paddach01
Nicholas Padilla,1,0,1,0,0,0,0,0,0,0,0,0,0,padilni01
Kevin Padlo,13,9,0,0,7,0,5,0,0,0,0,0,0,padloke01
Emilio Pagán,59,0,59,0,0,0,0,0,0,0,0,0,0,paganem01
Jermaine Palacios,30,18,2,0,1,12,1,14,0,0,0,0,0,palacje01
Joshua Palacios,29,11,0,0,0,0,0,0,9,0,12,21,4,palacjo01
Richie Palacios,54,30,0,0,0,2,0,0,25,0,0,25,11,palacri01
Andre Pallante,47,10,47,0,0,0,0,0,0,0,0,0,0,pallaan01
Michael Papierski,39,30,0,38,1,0,0,0,0,0,0,0,0,papiemi01
Enoli Paredes,3,0,3,0,0,0,0,0,0,0,0,0,0,pareden01
Isaac Paredes,111,88,0,0,29,43,50,1,0,0,0,0,0,paredis01
Hoy Park,23,17,0,0,0,11,6,3,0,0,2,2,0,parkho01
Vinnie Pasquantino,72,72,0,0,37,0,0,0,0,0,0,0,35,pasquvi01
Luis Patiño,6,6,6,0,0,0,0,0,0,0,0,0,0,patinlu01
Spencer Patton,7,0,7,0,0,0,0,0,0,0,0,0,0,pattosp01
Joel Payamps,41,0,41,0,0,0,0,0,0,0,0,0,0,payamjo01
Mark Payton,8,6,0,0,0,0,0,0,6,1,3,8,0,paytoma01
Matt Peacock,9,0,9,0,0,0,0,0,0,0,0,0,0,peacoma01
Joc Pederson,134,105,0,0,0,0,0,0,102,0,18,114,14,pederjo01
Elvis Peguero,13,0,13,0,0,0,0,0,0,0,0,0,0,pegueel01
Liover Peguero,1,1,0,0,0,0,0,1,0,0,0,0,0,pegueli01
Jeremy Peña,136,132,0,0,0,0,0,134,0,0,0,0,0,penaje02
Ryan Pepiot,9,7,9,0,0,0,0,0,0,0,0,0,0,pepiory01
David Peralta,134,116,0,0,0,0,0,0,114,0,0,114,11,peralda01
Freddy Peralta,18,17,18,0,0,0,0,0,0,0,0,0,0,peralfr01
Wandy Peralta,56,0,56,0,0,0,0,0,0,0,0,0,0,peralwa01
Wily Peralta,28,1,28,0,0,0,0,0,0,0,0,0,0,peralwi01
Oswald Peraza,18,14,0,0,0,4,0,12,0,0,0,0,0,perazos02
Geraldo Perdomo,148,138,0,0,0,2,6,140,0,0,0,0,0,perdoge01
Luis Perdomo,14,0,14,0,0,0,0,0,0,0,0,0,0,perdolu02
Carlos Pérez,7,5,0,6,0,0,0,0,0,0,0,0,0,perezca03
Cionel Pérez,66,0,66,0,0,0,0,0,0,0,0,0,0,perezci01
Francisco Pérez,10,0,10,0,0,0,0,0,0,0,0,0,0,perezfr01
Joe Perez,1,0,0,0,0,0,1,0,0,0,0,0,0,perezjo02
Martín Pérez,32,32,32,0,0,0,0,0,0,0,0,0,0,perezma02
Michael Perez,45,38,0,44,0,0,0,0,0,0,0,0,0,perezmi03
Oliver Pérez,7,0,7,0,0,0,0,0,0,0,0,0,0,perezol01
Roberto Pérez,21,19,0,20,0,0,0,0,0,0,0,0,0,perezro02
Salvador Perez,114,114,0,77,0,0,0,0,0,0,0,0,40,perezsa02
Dillon Peters,22,4,22,0,0,0,0,0,0,0,0,0,0,peterdi01
David Peterson,28,19,28,0,0,0,0,0,0,0,0,0,0,peterda01
Jace Peterson,113,81,1,0,5,3,86,0,3,0,12,14,2,peterja01
Tommy Pham,144,143,0,0,0,0,0,0,134,0,0,134,10,phamth01
David Phelps,65,1,65,0,0,0,0,0,0,0,0,0,0,phelpda01
Brett Phillips,83,60,3,0,0,0,0,0,5,42,38,78,2,phillbr02
Evan Phillips,64,0,64,0,0,0,0,0,0,0,0,0,0,phillev01
Konnor Pilkington,15,11,15,0,0,0,0,0,0,0,0,0,0,pilkiko01
Kevin Pillar,4,4,0,0,0,0,0,0,4,1,0,4,0,pillake01
Manny Piña,5,5,0,5,0,0,0,0,0,0,0,0,0,pinama01
Chad Pinder,111,89,1,0,3,1,9,0,64,0,30,91,12,pindech01
Israel Pineda,4,4,0,4,0,0,0,0,0,0,0,0,0,pinedis01
Michael Pineda,11,11,11,0,0,0,0,0,0,0,0,0,0,pinedmi01
René Pinto,25,23,0,25,0,0,0,0,0,0,0,0,0,pintore02
