Name,WAR,Name-additional
,,-9999
Cory Abbott,0.0,abbotco01
Albert Abreu,0.3,abreual01
Bryan Abreu,1.3,abreubr01
Domingo Acevedo,1.2,acevedo01
Jason Adam,2.7,adamja01
Austin Adams,0.1,adamsau02
Joan Adon,-1.2,adonjo01
Ehire Adrianza,0.0,adriaeh01
Keegan Akin*,0.8,akinke01
Hanser Alberto,0.1,alberha01
Jorge Alcala,0.1,alcaljo01
Sandy Alcantara,7.8,alcansa01
Jason Alexander,-0.8,alexaja01
Scott Alexander*,1.1,alexasc02
Tyler Alexander*,-0.3,alexaty01
A.J. Alexy,-0.4,alexyaj01
Kolby Allard*,-0.5,allarko01
Cam Alldred*,0.0,alldrca01
Logan Allen*,-0.1,allenlo01
Yency Almonte,1.5,almonye01
José Alvarado*,1.0,alvarjo03
Jose Alvarez*,-0.1,alvarjo02
R.J. Alvarez,-0.2,alvarrj01
Adbert Alzolay,0.2,alzolad01
Chase Anderson,-0.2,anderch01
Ian Anderson,-0.2,anderia01
Shaun Anderson,-0.1,andersh01
Tyler Anderson*,4.3,anderty01
Mark Appel,0.3,appelma01
Víctor Arano,-0.7,aranovi01
Chris Archer,0.1,archech01
Orlando Arcia,0.0,arciaor01
Kohei Arihara,-0.9,arihako01
Shawn Armstrong,0.2,armstsh01
Aaron Ashby*,-0.6,ashbyaa01
Graham Ashcraft,1.0,ashcrgr01
Javier Assad,0.9,assadja01
Willians Astudillo,0.1,astudwi01
Pedro Avila,0.0,avilape01
Michel Báez,0.1,baezmi01
Pedro Báez,-0.2,baezpe01
Bryan Baker,1.2,bakerbr01
Anthony Banda*,-0.5,bandaan01
Tanner Banks*,0.4,banksta01
Manny Banuelos*,-0.2,banuema01
Daniel Bard,3.7,bardda01
Luke Bard,0.5,bardlu01
Luke Barker,-0.1,barkelu01
Joe Barlow,0.2,barlojo01
Scott Barlow,2.8,barlosc01
Jacob Barnes,-0.2,barneja01
Matt Barnes,0.2,barnema01
Tucker Barnhart,0.0,barnhtu01
Kyle Barraclough,0.2,barraky01
Jaime Barria,2.0,barrija01
Anthony Bass,2.7,bassan01
Chris Bassitt,3.2,bassich01
Matthew Batten,0.0,battema01
Mike Baumann,0.1,baumami01
Félix Bautista,2.6,bautife01
Shane Baz,0.1,bazsh01
Eduard Bazardo,0.3,bazared01
Jeremy Beasley,0.0,beaslje01
David Bednar,1.4,bednada01
Tyler Beede,-0.2,beedety01
Jalen Beeks*,1.2,beeksja02
Andrew Bellatti,0.8,bellaan01
Brayan Bello,0.4,bellobr01
Anthony Bender,0.4,bendean01
Brennan Bernardino*,-0.2,bernabr01
José Berríos,-0.6,berrijo01
Christian Bethancourt,0.1,bethach01
Phil Bickford,-0.3,bickfph01
Shane Bieber,3.6,biebesh01
Brandon Bielak,0.1,bielabr01
Jake Bird,0.3,birdja01
Ty Blach*,-0.1,blachty01
Paul Blackburn,1.3,blackpa01
Ronel Blanco,-0.2,blancro01
Richard Bleier*,0.6,bleieri01
Ronald Bolaños,0.2,bolanro01
Ryan Borucki*,-0.3,borucry01
Brad Boxberger,1.1,boxbebr01
Matthew Boyd*,0.4,boydma01
Silvino Bracho,-0.1,brachsi01
Kyle Bradish,0.4,bradiky01
Archie Bradley,-0.4,bradlar01
Jackie Bradley Jr.,0.0,bradlja02
Matt Brash,0.1,brashma01
Ryan Brasier,-0.8,brasiry01
Steven Brault*,0.2,braulst01
Huascar Brazoban,0.7,brazohu01
John Brebbia,1.6,brebbjo01
Jake Brentz*,-1.3,brentja01
Austin Brice,0.1,briceau01
Beau Brieske,0.8,briesbe01
Jeff Brigham,0.4,brighje01
Zack Britton*,-0.1,brittza01
Connor Brogdon,1.0,brogdco01
Aaron Brooks,-0.2,brookaa01
Mike Brosseau,0.1,brossmi01
Hunter Brown,0.8,brownhu01
JT Brubaker,0.2,brubajt01
Justin Bruihl*,0.1,bruihju01
Kris Bubic*,-0.3,bubickr01
Walker Buehler,0.5,buehlwa01
Madison Bumgarner*,-0.7,bumgama01
Aaron Bummer*,0.6,bummeaa01
Dylan Bundy,-0.2,bundydy01
Brock Burke*,2.1,burkebr01
Corbin Burnes,4.0,burneco01
Ryan Burr,-0.2,burrry01
Matt Bush,-0.1,bushma01
José Butto,-0.3,buttojo01
Edward Cabrera,2.1,cabreed02
Génesis Cabrera*,-0.3,cabrege01
Yennier Cano,-0.9,canoye01
Victor Caratini,-0.1,caratvi01
Drew Carlton,0.0,carltdr01
Carlos Carrasco,1.2,carraca01
Daniel Castano*,0.1,castada01
Ryan Castellani,0.1,castery01
Humberto Castellanos,-0.4,castehu01
Diego Castillo,0.0,castidi01
Diego Castillo,-0.3,castidi02
José Castillo*,0.0,castijo03
Luis Castillo,4.1,castilu02
Luis Castillo,0.1,castilu03
Max Castillo,-0.5,castima03
Anthony Castro,-0.6,castran02
Harold Castro,0.0,castrha01
Kervin Castro,-0.4,castrke01
Miguel Castro,-0.3,castrmi01
Cade Cavalli,-0.3,cavalca01
Dylan Cease,6.4,ceasedy01
