Name,WAR,Name-additional
Doug Fister,1.2,fistedo01
Randy Flores*,0.7,florera01
Gavin Floyd,3.3,floydga01
Matt Fox,0.0,foxma01
Jeff Francis*,0.4,francje01
Frank Francisco,0.8,francfr01
Ryan Franklin,0.7,frankry01
Jason Frasor,0.7,frasoja01
Luke French*,0.4,frenclu01
Ernesto Frieri,0.7,frierer01
Brian Fuentes*,0.9,fuentbr01
Jeff Fulchino,-0.3,fulchje01
Armando Gabino,-0.3,gabinar01
Armando Galarraga,1.0,galarar01
Sean Gallagher,-0.7,gallase01
Yovani Gallardo,1.9,gallayo01
Freddy Garcia,2.1,garcifr03
Jaime García*,2.7,garcija02
Jon Garland,1.3,garlajo01
Matt Garza,1.6,garzama01
Chad Gaudin,-1.0,gaudich01
Dillon Gee,0.9,geedi01
Justin Germano,0.3,germaju01
Sammy Gervacio,-0.3,gervasa01
Jeanmar Gómez,-0.3,gomezje01
Enrique Gonzalez,0.3,gonzaen01
Gio Gonzalez*,3.9,gonzagi01
Mike Gonzalez*,0.4,gonzami02
Tom Gorzelanny*,2.0,gorzeto01
John Grabow*,-0.9,grabojo02
Jeff Gray,-0.3,grayje02
Sean Green,-0.2,greense01
Luke Gregerson,0.4,gregelu01
Kevin Gregg,1.0,greggke01
Zack Greinke,3.5,greinza01
Matt Guerrier,1.1,guerrma02
Jeremy Guthrie,4.5,guthrje01
J.C. Gutierrez,-0.5,gutieju01
Charlie Haeger,-1.1,haegech01
Bill Hall,0.0,hallbi03
Roy Halladay,8.5,hallaro01
Cole Hamels*,5.5,hamelco01
Jason Hammel,1.6,hammeja01
Mike Hampton*,0.3,hamptmi01
Joel Hanrahan,1.3,hanrajo01
Tommy Hanson,2.8,hansoto01
J.A. Happ*,1.5,happja01
Aaron Harang,-0.9,haranaa01
Rich Harden,-0.1,harderi01
Dan Haren,3.1,harenda01
Lucas Harrell,-0.2,harrelu01
Matt Harrison*,0.0,harrima01
LaTroy Hawkins,-0.8,hawkila01
Blake Hawksworth,-0.9,hawksbl01
Aaron Heilman,-0.1,heilmaa01
Jeremy Hellickson,0.6,hellije01
Mark Hendrickson*,-0.3,hendrma01
Clay Hensley,2.5,henslcl01
David Hernandez,0.8,hernada01
Félix Hernández,7.2,hernafe02
Liván Hernández,3.2,hernali01
Roberto Hernandez,2.8,carmofa01
David Herndon,0.1,herndda01
Danny Herrera*,0.2,herreda01
Frank Herrmann,0.2,herrmfr01
Rich Hill*,0.3,hillri01
Shawn Hill,0.4,hillsh01
Luke Hochevar,1.0,hochelu01
Trevor Hoffman,-0.9,hoffmtr01
Derek Holland*,0.6,hollade01
Greg Holland,-0.2,hollagr01
James Houser*,-0.2,houseja01
Bob Howry,-1.5,howrybo01
Daniel Hudson,3.6,hudsoda01
Tim Hudson,5.8,hudsoti01
David Huff*,-1.1,huffda01
Dusty Hughes*,0.8,hughedu01
Phil Hughes,2.1,hugheph01
Philip Humber,0.5,humbeph01
Tommy Hunter,2.7,hunteto02
Ryota Igarashi,-0.9,igarary01
Gregory Infante,0.2,infangr01
Joe Inglett,0.0,inglejo01
Edwin Jackson,1.9,jacksed01
Steven Jackson,-0.3,jacksst01
Chris Jakubauskas,-0.2,jakubch01
Justin James,0.0,jamesju01
Kenley Jansen,1.4,janseke01
Casey Janssen,0.9,janssca01
Jeremy Jeffress,0.1,jeffrje01
Bobby Jenks,0.3,jenksbo01
Kevin Jepsen,0.5,jepseke01
Ubaldo Jiménez,7.5,jimenub01
Waldis Joaquin,-0.3,joaquwa01
Jim Johnson,0.6,johnsji04
Josh Johnson,7.0,johnsjo09
Hunter Jones*,0.1,joneshu01
Jair Jurrjens,0.2,jurrjja01
Jeff Karstens,0.8,karstje01
Kenshin Kawakami,-0.8,kawakke01
Scott Kazmir*,-1.0,kazmisc01
Shawn Kelley,0.2,kellesh01
Kyle Kendrick,0.4,kendrky01
Ian Kennedy,3.0,kenneia01
Clayton Kershaw*,5.6,kershcl01
Brad Kilby*,0.2,kilbybr01
Craig Kimbrel,0.8,kimbrcr01
Brandon Kintzler,-0.2,kintzbr01
Michael Kirkman*,0.7,kirkmmi01
Michael Kohn,0.7,kohnmi01
Zach Kroenke*,-0.1,kroenza01
Hung-Chih Kuo*,3.2,kuoho01
Hiroki Kuroda,3.6,kurodhi01
John Lackey,1.7,lackejo01
Aaron Laffey*,0.3,laffeaa01
John Lannan*,0.1,lannajo01
Mat Latos,3.2,latosma01
Brandon League,0.1,leagubr01
Mike Leake,-0.2,leakemi01
Wade LeBlanc*,0.1,leblawa01
Sam LeCure,0.1,lecursa01
Wil Ledezma*,-0.3,ledezwi01
Cliff Lee*,5.1,leecl02
Anthony Lerew,-0.7,lerewan01
Chris Leroux,-0.5,lerouch01
Jon Lester*,5.2,lestejo01
Colby Lewis,3.7,lewisco01
Jensen Lewis,0.8,lewisje01
Rommie Lewis*,-0.2,lewisro01
Brad Lidge,1.1,lidgebr01
Ted Lilly*,4.0,lillyte01
Tim Lincecum,3.3,linceti01
Brad Lincoln,-0.8,lincobr01
Mike Lincoln,-0.6,lincomi01
Matt Lindstrom,0.3,lindsma01
Scott Linebrink,0.4,linebsc01
Jon Link,-0.1,linkjo01
Francisco Liriano*,4.2,liriafr01
Jesse Litsch,0.0,litscje01
Kameron Loe,0.8,loeka01
Boone Logan*,1.0,loganbo02
Kyle Lohse,-2.3,lohseky01
Felipe Lopez,0.1,lopezfe01
Javier López*,1.7,lopezja02
Rodrigo Lopez,-0.6,lopezro02
Wilton Lopez,1.4,lopezwi01
Derek Lowe,2.0,lowede01
Mark Lowe,-0.2,lowema01
Cory Luebke*,0.1,luebkco01
Brandon Lyon,1.7,lyonbr01
Mike MacDougal,-0.5,macdomi01
Evan MacLane*,0.0,maclaev01
Ryan Madson,1.3,madsory01
Ron Mahay*,0.4,mahayro01
Paul Maholm*,0.3,maholpa01
John Maine,-0.6,mainejo01
Scott Maine*,0.3,mainesc01
Gary Majewski,-0.2,majewga01
Matt Maloney*,0.5,malonma02
Jeff Manship,-0.3,manshje01
Robert Manuel,0.1,manuero01
Shaun Marcum,4.1,marcush01
Jhan Mariñez,-0.2,marinjh01
Carlos Marmol,2.7,marmoca01
Jeff Marquez,-0.1,marquje01
Jason Marquis,-1.2,marquja01
Sean Marshall*,2.0,marshse01
Andy Marte,0.0,martean01
Damaso Marte*,0.2,marteda01
Victor Marte,-0.9,martevi01
J.D. Martin,-0.3,martijd01
Cristhian Martinez,-0.1,marticr01
Joe Martinez,-0.1,martijo07
Nick Masset,0.8,masseni01
Justin Masterson,0.2,masteju01
Frank Mata,-0.4,matafr01
Marcos Mateo,-0.2,mateoma01
Joe Mather,-0.2,mathejo02
Scott Mathieson,-0.1,mathisc01
Doug Mathis,-0.1,mathido01
Daisuke Matsuzaka,1.0,matsuda01
Brian Matusz*,2.8,matusbr01
Yunesky Maya,-0.3,mayayu01
Vin Mazzaro,-0.3,mazzavi01
Kyle McClellan,1.8,mccleky01
Mike McClendon,0.4,mcclemi01
Daniel McCutchen,-0.5,mccutda01
James McDonald,1.3,mcdonja03
Jake McGee*,0.1,mcgeeja01
Gil Meche,0.0,mechegi01
Brandon Medders,-0.4,meddebr01
Kris Medlen,1.1,medlekr01
Evan Meek,2.4,meekev01
Jenrry Mejia,-0.1,mejiaje01
Mark Melancon,0.0,melanma01
Adalberto Mendez,0.1,mendead01
Luis Mendoza,-0.7,mendolu01
Cla Meredith,0.0,meredcl01
Dan Meyer*,-0.5,meyerda02
Kam Mickolio,-0.1,mickoka01
Jose Mijares*,0.5,mijarjo01
Aaron Miles,0.1,milesaa01
Andrew Miller*,-1.2,millean01
Justin Miller,0.1,milleju01
Trever Miller*,0.0,milletr02
Brad Mills*,0.0,millsbr02
Kevin Millwood,0.3,millwke01
Mike Minor*,-0.5,minormi01
Pat Misch*,0.0,mischpa01
Sergio Mitre,0.7,mitrese01
Garrett Mock,0.0,mockga01
Brian Moehler,0.2,moehlbr01
Carlos Monasterios,0.5,monasca01
Franklin Morales*,-0.7,moralfr01
Brandon Morrow,1.8,morrobr01
Clayton Mortensen,-0.1,mortecl01
Charlie Morton,-2.3,mortoch02
Guillermo Moscoso,-0.1,moscogu01
Dustin Moseley,0.3,moseldu01
Guillermo Mota,-0.3,motagu01
Jason Motte,1.4,motteja01
Jamie Moyer*,0.2,moyerja01
Peter Moylan,0.9,moylape01
Edward Mujica,0.2,mujiced01
Kevin Mulvey,0.0,mulveke01
Brett Myers,4.9,myersbr01
Chris Narveson*,-0.2,narvech01
Joe Nelson,-0.3,nelsojo01
Pat Neshek,0.0,neshepa01
Fu-Te Ni*,-0.6,nifu01
Jeff Niemann,0.6,niemaje01
Jon Niese*,0.0,niesejo01
Fernando Nieve,-0.8,nievefe01
Dustin Nippert,0.5,nippedu01
Ricky Nolasco,1.4,nolasri01
Jordan Norberto*,-0.2,norbejo01
Bud Norris,-0.4,norribu01
Iván Nova,0.4,novaiv01
Darren O'Day,2.4,odayda01
Eric O'Flaherty*,0.9,oflaher01
Sean O'Sullivan,0.5,osullse01
Alexi Ogando,2.1,ogandal01
Ross Ohlendorf,1.7,ohlenro01
Will Ohman*,0.8,ohmanwi01
Hideki Okajima*,0.1,okajihi01
Andy Oliver*,-0.7,olivean01
Darren Oliver*,1.7,oliveda02
Scott Olsen*,-0.5,olsensc01
Garrett Olson*,0.0,olsonga01
Logan Ondrusek,0.4,ondrulo01
Ramon Ortiz,-0.5,ortizra02
Russ Ortiz,-0.4,ortizru01
Roy Oswalt,6.0,oswalro01
Adam Ottavino,-0.6,ottavad01
Juan Carlos Oviedo,1.0,nunezle01
Micah Owings,-0.3,owingmi01
Vicente Padilla,1.2,padilvi01
Matt Palmer,-0.1,palmema01
Jonathan Papelbon,0.1,papeljo01
Chan Ho Park,-0.3,parkch01
Bobby Parnell,0.4,parnebo01
Manny Parra*,-0.6,parrama01
John Parrish*,0.3,parrijo01
Troy Patton*,0.0,pattotr01
David Pauley,0.8,pauleda01
Felipe Paulino,-0.7,paulife01
Carl Pavano,3.8,pavanca01
Jake Peavy,1.5,peavyja01
Mike Pelfrey,2.6,pelfrmi01
Tony Pena,0.0,penato03
Hayden Penn,-0.4,pennha01
Brad Penny,0.6,pennybr01
Joel Peralta,1.4,peraljo01
Luis Perdomo,0.0,perdolu01
Chris Perez,2.6,perezch01
Oliver Pérez*,-1.2,perezol01
Rafael Perez*,1.1,perezra01
Glen Perkins*,-0.3,perkigl01
Ryan Perry,0.8,perryry01
Vinnie Pestano,0.1,pestavi01
Andy Pettitte*,2.6,pettian01
Joel Pineiro,2.6,pineijo01
Renyel Pinto*,0.5,pintore01
Rick Porcello,0.2,porceri01
David Price*,4.7,priceda01
Scott Proctor,-0.1,proctsc01
David Purcey*,0.3,purceda01
J.J. Putz,1.7,putzjj01
Chad Qualls,-2.9,quallch01
Edwar Ramirez,-0.1,ramired01
Ramon Ramirez,1.3,ramirra02
Cesár Ramos*,-0.7,ramosce01
Clay Rapada*,0.1,rapadcl01
Jon Rauch,1.2,rauchjo01
Chris Ray,0.8,raych01
Robert Ray,0.1,rayro01
Chris Resop,0.4,resopch01
Dennys Reyes*,0.4,reyesde01
Jo-Jo Reyes*,-0.2,reyesjo03
Matt Reynolds*,0.7,reynoma02
Arthur Rhodes*,1.6,rhodear01
Clayton Richard*,1.0,richacl01
Dustin Richardson*,0.2,richadu02
Juan Rincon,0.0,rincoju01
Royce Ring*,-0.2,ringro01
David Riske,-0.1,riskeda01
Mariano Rivera,2.4,riverma01
Saul Rivera,-0.4,riversa01
David Robertson,0.8,roberda08
Nate Robertson*,-0.9,roberna01
Fernando Rodney,0.1,rodnefe01
Francisco Rodríguez,1.8,rodrifr03
Francisco Rodriguez,0.2,rodrifr04
Henry Rodriguez,-0.1,rodrihe03
Rafael Rodriguez,0.0,rodrira01
Wandy Rodriguez*,2.5,rodriwa01
Josh Roenicke,-0.3,roenijo01
Esmil Rogers,-1.7,rogeres01
Mark Rogers,0.4,rogerma01
J.C. Romero*,0.4,romerj.01
Ricky Romero*,3.2,romerri01
Sergio Romo,1.7,romose01
Carlos Rosa,0.1,rosaca01
Leo Rosales,-0.4,rosalle01
Sandy Rosario,-0.3,rosarsa02
Tyson Ross,-0.3,rossty01
Ryan Rowland-Smith*,-2.6,rowlary01
Dan Runzler*,0.4,runzlda01
Josh Rupe,0.0,rupejo01
Adam Russell,0.0,russead01
James Russell*,-0.7,russeja02
Marc Rzepczynski*,0.2,rzepcma01
CC Sabathia*,4.8,sabatc.01
Takashi Saito,0.7,saitota01
Fernando Salas,0.2,salasfe01
Chris Sale*,1.2,salech01
Jeff Samardzija,-0.8,samarje01
Chris Sampson,-0.5,sampsch01
Alex Sanabia,1.0,sanabal01
Brian Sanches,1.5,sanchbr01
Aníbal Sánchez,3.1,sanchan01
Jonathan Sánchez*,3.2,sanchjo01
Romulo Sanchez,0.2,sanchro01
Ervin Santana,2.7,santaer01
Johan Santana*,4.7,santajo02
Sergio Santos,1.5,santose01
Joe Saunders*,-0.1,saundjo01
Jay Sborz,-0.3,sborzja01
Max Scherzer,3.4,scherma01
Daniel Schlereth*,0.3,schleda01
Travis Schlichting,0.3,schlitr01
Brian Schlitter,-0.6,schlibr01
Scott Schoeneweis*,-0.4,schoesc01
Chris Seddon*,-0.2,seddoch01
Ben Sheets,0.2,sheetbe01
George Sherrill*,-0.9,sherrge01
James Shields,-1.5,shielja02
Scot Shields,-0.4,shielsc01
Carlos Silva,1.9,silvaca01
Alfredo Simon,-0.4,simonal01
Brett Sinkbeil,-0.2,sinkbbr01
Tony Sipp*,0.3,sippto01
Anthony Slama,-0.1,slamaan01
Doug Slaten*,0.3,slatedo01
Kevin Slowey,1.0,sloweke01
Chris Smith,0.0,smithch08
Greg Smith*,-0.4,smithgr02
Joe Smith,0.5,smithjo05
Jordan Smith,0.3,smithjo06
Ian Snell,-0.8,snellia01
Andy Sonnanstine,0.2,sonnaan01
Joakim Soria,3.7,soriajo01
Rafael Soriano,2.1,soriara01
Jorge Sosa,-0.1,sosajo02
Russ Springer,0.0,sprinru01
Craig Stammen,-0.4,stammcr01
Daniel Stange,-0.2,stangda01
Tim Stauffer,2.1,staufti01
Mitch Stetter*,-0.5,stettmi01
Jeff Stevens,-0.5,steveje01
Brian Stokes,-0.6,stokebr01
Tobi Stoner,0.0,stoneto01
Drew Storen,0.4,storedr01
Stephen Strasburg,1.5,strasst01
Huston Street,0.8,streehu01
Scott Strickland,-0.1,stricsc02
Pedro Strop,-0.5,stroppe01
Jeff Suppan,-0.5,suppaje01
Brian Sweeney,0.3,sweenbr01
Hisanori Takahashi*,1.3,takahhi01
Mitch Talbot,0.7,talbomi01
Brian Tallet*,-1.3,tallebr01
Taylor Tankersley*,-0.5,tanketa01
Jack Taschner*,-0.2,taschja01
Rob Tejeda,1.2,tejedro01
Kanekoa Texeira,0.1,texeika01
Joe Thatcher*,1.3,thatcjo01
Dale Thayer,-0.2,thayeda01
Brad Thomas*,0.6,thomabr01
Justin Thomas*,-0.1,thomaju01
Brad Thompson,-0.4,thompbr01
Rich Thompson,0.6,thompri03
Matt Thornton*,2.2,thornma01
Erick Threets*,0.6,threeer01
Chris Tillman,-0.1,tillmch01
Jess Todd,-0.1,toddje01
Josh Tomlin,0.4,tomlijo01
Carlos Torres,-0.2,torreca01
Ramon Troncoso,0.1,troncra01
Koji Uehara,1.3,ueharko01
Raúl Valdés*,-0.3,valdera02
César Valdez,-0.7,valdece01
Merkin Valdez,-0.1,valdeme01
